Phase and Amplitude Scintillation Indices from KHO (78.147,16.038,0.522)

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2313,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma , HHMM
 432240.00,18, 0, 7,300.33, 29.62, 51.91, 9623.82, 151.288,  0.009,  0.055,  0.025,  0.048,  0.075,  0.096,  0.097,  0.097, 0004
 432240.00,23, 0, 1,332.02, 19.84, 43.12, 2146.04,  -3.935,  0.179,  0.150,  0.070,  0.078,  0.106,  0.148,  0.149,  0.149, 0004
 432240.00,23, 0, 7,332.02, 19.84, 49.77, 2146.34,  94.212,  0.004,  0.072,  0.032,  0.055,  0.091,  0.132,  0.133,  0.133, 0004
 432240.00, 8, 0, 1, 60.35, 32.36, 45.86, 5142.49,  -6.595,  0.047,  0.080,  0.051,  0.071,  0.096,  0.129,  0.130,  0.130, 0004
 432240.00, 8, 0, 7, 60.35, 32.36, 50.77, 5069.08,  91.879,  0.006,  0.045,  0.029,  0.053,  0.074,  0.100,  0.101,  0.101, 0004
 432240.00,15, 0, 1,272.58, 37.42, 50.06, 4717.18, -12.831,  0.012,  0.052,  0.031,  0.059,  0.092,  0.119,  0.120,  0.120, 0004
 432240.00, 5, 0, 1,218.25, 30.00, 48.06,13015.78, -14.032,  0.132,  0.076,  0.040,  0.062,  0.094,  0.116,  0.117,  0.117, 0004
 432240.00,30, 0, 1,139.91, 55.70, 51.52,10056.34, -17.061,  0.042,  0.042,  0.027,  0.062,  0.100,  0.137,  0.138,  0.138, 0004
 432240.00,30, 0, 7,139.91, 55.70, 53.64,10054.06, 254.465,  0.002,  0.041,  0.021,  0.056,  0.093,  0.124,  0.125,  0.125, 0004
 432240.00,14, 0, 1,159.55, 25.52, 45.58, 1784.40,  -4.294,  0.096,  0.135,  0.053,  0.075,  0.112,  0.140,  0.141,  0.141, 0004
 432240.00,14, 0, 7,159.55, 25.52, 48.48, 1784.74, 129.397,  0.004,  0.070,  0.038,  0.068,  0.106,  0.131,  0.132,  0.132, 0004
 432240.00,27, 0, 1, 18.14, 31.46, 45.68, 8085.88,  -5.306,  0.031,  0.077,  0.052,  0.077,  0.100,  0.121,  0.122,  0.122, 0004
 432240.00,27, 0, 7, 18.14, 31.46, 51.91, 8083.64, 113.056,  0.009,  0.039,  0.025,  0.048,  0.065,  0.079,  0.080,  0.080, 0004
 432240.00,13, 0, 1,230.81, 56.21, 52.43, 7656.49, -13.443,  0.019,  0.040,  0.024,  0.051,  0.081,  0.119,  0.120,  0.120, 0004
 432300.00, 7, 0, 1, 97.96, 36.76, 47.92,13322.98, -12.724,  0.027,  0.072,  0.040,  0.063,  0.089,  0.110,  0.110,  0.110, 0005
 432300.00,18, 0, 1,299.92, 29.38, 46.94, 9685.97,  -7.488,  0.031,  0.074,  0.045,  0.065,  0.084,  0.102,  0.103,  0.103, 0005
 432300.00,18, 0, 7,299.92, 29.38, 51.75, 9683.82, 151.304,  0.002,  0.059,  0.026,  0.049,  0.075,  0.091,  0.092,  0.092, 0005
 432300.00,23, 0, 1,331.84, 20.21, 43.63, 2206.04,  -4.010,  0.081,  0.144,  0.066,  0.075,  0.095,  0.119,  0.120,  0.120, 0005
 432300.00,23, 0, 7,331.84, 20.21, 50.24, 2206.34,  94.186,  0.010,  0.069,  0.031,  0.054,  0.084,  0.111,  0.113,  0.113, 0005
 432300.00, 8, 0, 1, 59.88, 32.53, 46.56, 5202.49,  -6.401,  0.100,  0.062,  0.047,  0.064,  0.080,  0.097,  0.097,  0.097, 0005
 432300.00, 8, 0, 7, 59.88, 32.53, 50.71, 5129.08,  91.887,  0.003,  0.044,  0.029,  0.050,  0.064,  0.079,  0.079,  0.079, 0005
 432300.00,15, 0, 1,272.28, 37.79, 50.33, 4777.18, -12.829,  0.020,  0.054,  0.030,  0.057,  0.076,  0.097,  0.097,  0.097, 0005
 432300.00, 5, 0, 1,218.01, 29.60, 47.53,13075.78, -13.621,  0.044,  0.121,  0.042,  0.059,  0.078,  0.094,  0.094,  0.094, 0005
 432300.00,30, 0, 1,139.17, 55.56, 51.48,10116.34, -17.265,  0.093,  0.042,  0.027,  0.058,  0.075,  0.095,  0.095,  0.095, 0005
 432300.00,30, 0, 7,139.17, 55.56, 53.55,10114.06, 254.440,  0.011,  0.035,  0.021,  0.049,  0.067,  0.086,  0.086,  0.086, 0005
 432300.00,14, 0, 1,159.38, 25.93, 46.08, 1844.40,  -4.359,  0.097,  0.127,  0.050,  0.069,  0.087,  0.098,  0.099,  0.099, 0005
 432300.00,14, 0, 7,159.38, 25.93, 47.99, 1844.74, 129.414,  0.007,  0.083,  0.040,  0.061,  0.081,  0.090,  0.091,  0.091, 0005
 432300.00,27, 0, 1, 17.67, 31.31, 45.72, 8145.88,  -5.272,  0.046,  0.078,  0.052,  0.073,  0.087,  0.102,  0.102,  0.102, 0005
 432300.00,27, 0, 7, 17.67, 31.31, 52.02, 8143.64, 113.081,  0.017,  0.044,  0.025,  0.045,  0.058,  0.070,  0.070,  0.070, 0005
 432300.00,13, 0, 1,230.06, 56.43, 52.47, 7716.49, -13.530,  0.031,  0.037,  0.024,  0.047,  0.064,  0.086,  0.086,  0.086, 0005
 432360.00, 7, 0, 1, 97.76, 36.36, 47.99,13382.98, -12.581,  0.061,  0.066,  0.040,  0.063,  0.080,  0.096,  0.096,  0.096, 0006
 432360.00,18, 0, 1,299.51, 29.12, 46.71, 9745.97,  -7.560,  0.053,  0.075,  0.046,  0.067,  0.095,  0.115,  0.115,  0.115, 0006
 432360.00,18, 0, 7,299.51, 29.12, 51.24, 9743.82, 151.288,  0.009,  0.068,  0.027,  0.049,  0.079,  0.099,  0.099,  0.099, 0006
 432360.00,23, 0, 1,331.65, 20.59, 43.31, 2266.04,  -4.400,  0.075,  0.154,  0.068,  0.078,  0.103,  0.116,  0.116,  0.116, 0006
 432360.00,23, 0, 7,331.65, 20.59, 49.57, 2266.34,  94.142,  0.018,  0.071,  0.033,  0.052,  0.077,  0.088,  0.089,  0.089, 0006
 432360.00, 8, 0, 1, 59.40, 32.71, 46.13, 5262.49,  -6.362,  0.092,  0.067,  0.049,  0.068,  0.090,  0.109,  0.109,  0.109, 0006
 432360.00, 8, 0, 7, 59.40, 32.71, 50.73, 5189.08,  91.860,  0.009,  0.048,  0.029,  0.051,  0.070,  0.085,  0.086,  0.086, 0006
 432360.00,15, 0, 1,271.96, 38.17, 50.28, 4837.18, -12.702,  0.034,  0.055,  0.031,  0.060,  0.083,  0.101,  0.101,  0.101, 0006
 432360.00, 5, 0, 1,217.77, 29.19, 47.32,13135.78, -13.830,  0.073,  0.117,  0.043,  0.066,  0.095,  0.114,  0.115,  0.114, 0006
 432360.00,30, 0, 1,138.43, 55.42, 51.42,10176.34, -17.394,  0.034,  0.040,  0.027,  0.061,  0.089,  0.104,  0.104,  0.104, 0006
 432360.00,30, 0, 7,138.43, 55.42, 53.62,10174.06, 254.422,  0.003,  0.036,  0.021,  0.050,  0.074,  0.087,  0.087,  0.087, 0006
 432360.00,14, 0, 1,159.21, 26.34, 45.82, 1904.40,  -4.154,  0.039,  0.126,  0.051,  0.071,  0.097,  0.127,  0.127,  0.127, 0006
 432360.00,14, 0, 7,159.21, 26.34, 48.10, 1904.74, 129.421,  0.008,  0.094,  0.039,  0.065,  0.101,  0.133,  0.134,  0.134, 0006
 432360.00,27, 0, 1, 17.19, 31.16, 45.88, 8205.88,  -5.074,  0.094,  0.087,  0.051,  0.077,  0.098,  0.114,  0.114,  0.114, 0006
 432360.00,27, 0, 7, 17.19, 31.16, 51.58, 8203.64, 113.107,  0.011,  0.061,  0.026,  0.050,  0.070,  0.084,  0.084,  0.084, 0006
 432360.00,13, 0, 1,229.29, 56.63, 52.49, 7776.49, -13.563,  0.013,  0.036,  0.024,  0.052,  0.078,  0.102,  0.103,  0.102, 0006
